AgentId,Duration,Label,OutputType,InteractionId
9,255000,15,1,7119882284539576412
9,347793,15,1,7119882288834543720
8,330696,15,1,7119882284539576406
8,469980,15,1,7119882306014412976
9,301900,15,1,7119882297424478342
8,775206,15,1,7119882293129511022
9,250716,15,1,7119882306014412982
9,356000,15,1,7119882310309380290
9,102546,15,1,7119882323194282220
8,268780,15,1,7119882310309380284
9,258793,15,1,7119882271654674452
9,174320,15,1,7119882280244609068
8,537320,15,1,7119882301719445656
8,112436,15,1,7119882284539576400
8,427510,15,1,7119882314604347598
9,163763,15,1,7119882306014412964
9,472323,15,1,7119882288834543714
9,904846,15,1,7119882275949641760
9,889910,15,1,7119882323194282226
9,304290,15,1,7119882280244609092
9,205980,15,1,7119882297424478336
8,341713,15,1,7119882310309380296
8,170983,15,1,7119882297424478348
8,226826,15,1,7119882314604347610
8,259606,15,1,7119882314604347616
9,933320,15,1,7119882318899314918